GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
291992633,20130403,201304,2013,2013.2548,GBR,BRITAIN,GBR,,,,,,,,ESPGOV,SPANISH,ESP,,,,,GOV,,,0,114,114,11,3,-2,6,1,6,2.01058201058201,1,United Kingdom,UK,UK,54,-2,UK,4,"Madrid, Madrid, Spain",SP,SP29,40.4,-3.68333,-390625,1,United Kingdom,UK,UK,54,-2,UK,20140403,http://www.theolivepress.es/spain-news/2014/04/03/spanish-ambassador-summoned-to-foreign-office-after-dangerous-incursion-by-ship-into-gibraltar-waters/
291992634,20130403,201304,2013,2013.2548,GBR,BRITAIN,GBR,,,,,,,,ESPGOV,SPANISH,ESP,,,,,GOV,,,0,114,114,11,3,-2,6,1,6,2.6530612244898,1,United Kingdom,UK,UK,54,-2,UK,1,Spain,SP,SP,40,-4,SP,1,United Kingdom,UK,UK,54,-2,UK,20140403,http://www.theolivepress.es/spain-news/2014/04/03/british-ambassador-to-spain-summoned-by-spanish-government-over-gibraltar-water-troubles/
298737821,20130526,201305,2013,2013.4,ESP,SPAIN,ESP,,,,,,,,EUR,EUROPE,EUR,,,,,,,,1,042,042,04,1,1.9,2,1,2,1.26582278481013,1,Spain,SP,SP,40,-4,SP,1,Spain,SP,SP,40,-4,SP,1,Spain,SP,SP,40,-4,SP,20140526,http://www.thelocal.es/20140526/immigration-spain-germany-stats
298737824,20130526,201305,2013,2013.4,EUR,EUROPE,EUR,,,,,,,,ESP,SPAIN,ESP,,,,,,,,1,043,043,04,1,2.8,2,1,2,1.26582278481013,1,Spain,SP,SP,40,-4,SP,1,Spain,SP,SP,40,-4,SP,1,Spain,SP,SP,40,-4,SP,20140526,http://www.thelocal.es/20140526/immigration-spain-germany-stats
295735286,20130502,201305,2013,2013.3342,ESPCOP,SPANISH,ESP,,,,,COP,,,ESP,SPAIN,ESP,,,,,,,,1,080,080,08,2,5,6,1,6,1.35593220338983,4,"Benalmadena, AndalucíSP, Spain",SP,SP51,36.5954,-4.57322,-373144,4,"Benalmadena, AndalucíSP, Spain",SP,SP51,36.5954,-4.57322,-373144,4,"Benalmadena, AndalucíSP, Spain",SP,SP51,36.5954,-4.57322,-373144,20140502,http://www.theolivepress.es/spain-news/2014/05/02/british-paedophile-arrested-on-costa-del-sol/
298253932,20130522,201305,2013,2013.389,,,,,,,,,,,ESP,SPAIN,ESP,,,,,,,,0,036,036,03,1,4,4,1,4,3.66108786610879,0,,,,,,,4,"Barcelona, Comunidad Autonoma de Cataluna, Spain",SP,SP56,41.3833,2.18333,-372490,4,"Barcelona, Comunidad Autonoma de Cataluna, Spain",SP,SP56,41.3833,2.18333,-372490,20140522,http://elpais.com/elpais/2014/05/21/inenglish/1400669451_931376.html
298254444,20130522,201305,2013,2013.389,ESP,SPAIN,ESP,,,,,,,,,,,,,,,,,,0,036,036,03,1,4,4,1,4,3.66108786610879,4,"Barcelona, Comunidad Autonoma de Cataluna, Spain",SP,SP56,41.3833,2.18333,-372490,0,,,,,,,4,"Barcelona, Comunidad Autonoma de Cataluna, Spain",SP,SP56,41.3833,2.18333,-372490,20140522,http://elpais.com/elpais/2014/05/21/inenglish/1400669451_931376.html
256064576,20130515,201305,2013,2013.3699,,,,,,,,,,, ESP,SPAIN,ESP,,,,,,,,1,043,043,04,1,2.8,2,1,2,2.73348519362187,0,,,,,,,5,"Andalucia, AndalucíSP, Spain",SP,SP51,37.6,-4.5,6198367,5,"Andalucia, AndalucíSP, Spain",SP,SP51,37.6,-4.5,6198367,20130614,http://www.theolivepress.es/spain-news/2013/06/14/brangelina-for-bella/
256064748,20130515,201305,2013,2013.3699,ESP,SPAIN,ESP,,,,,,,, ,,,,,,,,,,1,042,042,04,1,1.9,2,1,2,2.73348519362187,5,"Andalucia, AndalucíSP, Spain",SP,SP51,37.6,-4.5,6198367,0,,,,,,,5,"Andalucia, AndalucíSP, Spain",SP,SP51,37.6,-4.5,6198367,20130614,http://www.theolivepress.es/spain-news/2013/06/14/brangelina-for-bella/
295735285,20130502,201305,2013,2013.3342,ESPCOP,SPAIN,ESP,,,,,COP,,,ESP,SPAIN,ESP,,,,,,,,1,013,013,01,1,0.4,2,1,2,1.35593220338983,4,"Costa Del Sol, Spain (general), Spain",SP,SP00,36.6833,-4,-403130,4,"Costa Del Sol, Spain (general), Spain",SP,SP00,36.6833,-4,-403130,4,"Costa Del Sol, Spain (general), Spain",SP,SP00,36.6833,-4,-403130,20140502,http://www.theolivepress.es/spain-news/2014/05/02/british-paedophile-arrested-on-costa-del-sol/
